videoArchiveName,General Location,Deployment ID,Camera  type,Platform,Camera orientation,Depth,"Lat ",Long,Notes,,
Tripod Pulse 02-1,Station M,Pulse 02,Original film subsequently digitized,Tripod Dual,Far field,4074,34.8935,-123.0926667,,,
Tripod Pulse 02-2,Station M,Pulse 02,Original film subsequently digitized,Tripod Dual,Far field,4074,34.8935,-123.0926667,,,
Tripod Pulse 03-1,Station M,Pulse 03,Original film subsequently digitized,Tripod Dual,Far field,4056,34.86966667,-123.0946667,,,
Tripod Pulse 03-2,Station M,Pulse 03,Original film subsequently digitized,Tripod Dual,Far field,4056,34.86966667,-123.0946667,,,
Tripod Pulse 04-1,Station M,Pulse 04,Original film subsequently digitized,Tripod Dual,Far field,4105,34.86516667,-123.077,,,
Tripod Pulse 04-2,Station M,Pulse 04,Original film subsequently digitized,Tripod Dual,Far field,4105,34.86516667,-123.077,,,
Tripod Pulse 05,Station M,Pulse 05,Original film subsequently digitized,Tripod Dual,Far field,4079,34.88125,-123.0413167,,,
Tripod Pulse 06,Station M,Pulse 06,Original film subsequently digitized,Tripod Dual,Far field,,34.85496667,-123.1819667,,,
Tripod Pulse 07,Station M,Pulse 07,Original film subsequently digitized,Tripod Dual,Far field,4036,34.91783333,-123.071,,,
Tripod Pulse 17-1,Station M,Pulse 17,Original film subsequently digitized,Tripod Dual,Far field,,34.79633333,-123.0938333,,,
Tripod Pulse 17-2,Station M,Pulse 17,Original film subsequently digitized,Tripod Dual,Far field,,34.79633333,-123.0938333,,,
Tripod Pulse 20-1,Station M,Pulse 20,Original film subsequently digitized,Tripod Dual,Far field,,34.85496667,-123.1819667,,,
Tripod Pulse 20-2,Station M,Pulse 20,Original film subsequently digitized,Tripod Dual,Far field,,34.85496667,-123.1819667,,,
Tripod Pulse 20-3,Station M,Pulse 20,Original film subsequently digitized,Tripod Dual,Far field,,34.85496667,-123.1819667,,,
Tripod Pulse 26-1,Station M,Pulse 26,Original film subsequently digitized,Tripod Dual,Far field,4069,34.906,-123.2215,,,
Tripod Pulse 26-2,Station M,Pulse 26,Original film subsequently digitized,Tripod Dual,Far field,4069,34.906,-123.2215,,,
Tripod Pulse 26-3,Station M,Pulse 26,Original film subsequently digitized,Tripod Dual,Far field,4069,34.906,-123.2215,,,
Tripod Pulse 27,Station M,Pulse 27,Original film subsequently digitized,Tripod Dual,Far field,4079,34.88,-123.2348333,,,
Tripod Pulse 29-1,Station M,Pulse 29,Original film subsequently digitized,Tripod Dual,Far field,,34.85766667,-123.235,,,
Tripod Pulse 29-2,Station M,Pulse 29,Original film subsequently digitized,Tripod Dual,Far field,,34.85766667,-123.235,,,
Tripod Pulse 29-3,Station M,Pulse 29,Original film subsequently digitized,Tripod Dual,Far field,,34.85766667,-123.235,,,
Tripod Pulse 30-1,Station M,Pulse 30,Original film subsequently digitized,Tripod Dual,Far field,4030,34.93025,-123.0838,,,
Tripod Pulse 30-2,Station M,Pulse 30,Original film subsequently digitized,Tripod Dual,Far field,4030,34.93025,-123.0838,,,
Tripod Pulse 30-3,Station M,Pulse 30,Original film subsequently digitized,Tripod Dual,Far field,4030,34.93025,-123.0838,,,
Tripod Pulse 32-1,Station M,Pulse 32,Original film subsequently digitized,Tripod Dual,Far field,,,,,,
Tripod Pulse 32-1B,Station M,Pulse 32,Original film subsequently digitized,Tripod Dual,Far field,,,,,,
Tripod Pulse 33-1,Station M,Pulse 33,Original film subsequently digitized,Tripod Dual,Far field,,34.84016667,-123.02645,,,
Tripod Pulse 33-2,Station M,Pulse 33,Original film subsequently digitized,Tripod Dual,Far field,,34.84016667,-123.02645,,,
Tripod Pulse 33-3,Station M,Pulse 33,Original film subsequently digitized,Tripod Dual,Far field,,34.84016667,-123.02645,,,
Tripod Pulse 35-1,Station M,Pulse 35,Original film subsequently digitized,Tripod Dual,Far field,4082,34.81523333,-123.0045167,,,
