videoArchiveName,Platform
Tripod Pulse 02-1,Tripod Dual
Tripod Pulse 02-2,Tripod Dual
Tripod Pulse 03-1,Tripod Dual
Tripod Pulse 03-2,Tripod Dual
Tripod Pulse 04-1,Tripod Dual
Tripod Pulse 04-2,Tripod Dual
Tripod Pulse 05,Tripod Dual
Tripod Pulse 06,Tripod Dual
Tripod Pulse 07,Tripod Dual
Tripod Pulse 17-1,Tripod Dual
Tripod Pulse 17-2,Tripod Dual
Tripod Pulse 20-1,Tripod Dual
Tripod Pulse 20-2,Tripod Dual
Tripod Pulse 20-3,Tripod Dual
Tripod Pulse 26-1,Tripod Dual
Tripod Pulse 26-2,Tripod Dual
Tripod Pulse 26-3,Tripod Dual
Tripod Pulse 27,Tripod Dual
Tripod Pulse 29-1,Tripod Dual
Tripod Pulse 29-2,Tripod Dual
Tripod Pulse 29-3,Tripod Dual
Tripod Pulse 30-1,Tripod Dual
Tripod Pulse 30-2,Tripod Dual
Tripod Pulse 30-3,Tripod Dual
Tripod Pulse 32-1,Tripod Dual
Tripod Pulse 32-1B,Tripod Dual
Tripod Pulse 33-1,Tripod Dual
Tripod Pulse 33-2,Tripod Dual
Tripod Pulse 33-3,Tripod Dual
Tripod Pulse 35-1,Tripod Dual
Tripod Pulse 35-2,Tripod Dual
Tripod Pulse 35-3,Tripod Dual
Tripod Pulse 37-1,Tripod Dual
Tripod Pulse 37-2,Tripod Dual
Tripod Pulse 37-3,Tripod Dual
Tripod Pulse 38-1,Tripod Dual
Tripod Pulse 38-2,Tripod Dual
Tripod Pulse 39-1,Tripod Dual
Tripod Pulse 39-2,Tripod Dual
Tripod Pulse 42-1,Tripod Dual
Tripod Pulse 42-2,Tripod Dual
Tripod Pulse 42-3,Tripod Dual
Tripod Pulse 43-1,Tripod Dual
Tripod Pulse 43-2,Tripod Dual
Tripod Pulse 44-1,Tripod Dual
Tripod Pulse 44-2,Tripod Dual
Tripod Pulse 44-3,Tripod Dual
Tripod Pulse 45-1,Tripod Dual
Tripod Pulse 45-2,Tripod Dual
Tripod Pulse 45-3,Tripod Dual
Tripod Pulse 46-1,Tripod Dual
Tripod Pulse 46-2,Tripod Dual
Tripod Pulse 46-3,Tripod Dual
Tripod Pulse 48-1,Tripod Dual
Tripod Pulse 48-2,Tripod Dual
Tripod Pulse 48-3,Tripod Dual
Tripod Pulse 49-1,Tripod Dual
Tripod Pulse 49-2,Tripod Dual
Tripod Pulse 49-3,Tripod Dual
Tripod Pulse 52-1-FILM,Tripod Dual
Tripod Pulse 52-2-FILM,Tripod Dual
Tripod Pulse 52-FILM-1,Tripod Dual
Tripod Pulse 52,
Grid Pulse 55,Tripod Dual
Tripod Pulse 55,Tripod Dual
Tripod Pulse 55-1,Tripod Dual
Tripod Pulse 55-2,Tripod Dual
Tripod Pulse 55-3,Tripod Dual
Grid Pulse 56,Tripod Dual
Tripod Pulse 56,Tripod Dual
Grid Pulse 57,Tripod Dual
Tripod Pulse 57,Tripod Dual
Grid Pulse 58,Tripod Dual
Tripod Pulse 58,Tripod Dual
Rover fluoro Pulse 58,Rover
Rover Transit Pulse 58,Rover
Grid Pulse 59,Tripod Dual
Tripod Pulse 59,Tripod Dual
Rover Chamber Pulse 59,Rover
Rover fluoro Pulse 59,Rover
Rover Transit Pulse 59,Rover
Grid Pulse 60,Tripod Dual
Tripod Pulse 60,Tripod Dual
Rover Chamber Pulse 60,Rover
Rover fluoro Pulse 60,Rover
Rover Transit Pulse 60,Rover
SES Pulse 60,SES
Rover Chamber Pulse 61,Rover
Rover fluoro Pulse 61,Rover
Rover Transit Pulse 61,Rover
Rover Transit Pulse 61 good,Rover
SES Pulse 61,SES
Rover fluoro Pulse 62,Rover
Tripod Pulse 62-1,Tripod Solo
Tripod Pulse 62-1 June 2013,Tripod Solo
Tripod Pulse 62-2 Jul 2013,Tripod Solo
Tripod Pulse 62-3 Aug 2013,Tripod Solo
Tripod Pulse 62-4 Sep 2013,Tripod Solo
Tripod Pulse 62-5 Oct 2013,Tripod Solo
Tripod Pulse 62-6 Nov 2013,Tripod Solo
Tripod Pulse 62-7 Dec 2013,Tripod Solo
Tripod Pulse 62-8 Jan 2014,Tripod Solo
Tripod Pulse 63,Tripod Solo
Rover fluoro Pulse 64,Rover
Rover Transit Pulse 64,Rover
SES Pulse 64,SES
Tripod Pulse 64-1,Tripod Solo
Tripod Pulse 64-2,Tripod Solo
Tripod Pulse 64-3,Tripod Solo
Tripod Pulse 64-4,Tripod Solo
Tripod Pulse 64-5,Tripod Solo
Tripod Pulse 65-1,Tripod Solo
Tripod Pulse 65-15 October 2015,Tripod Solo
Tripod Pulse 65-2,Tripod Solo
Tripod Pulse 65-3,Tripod Solo
Tripod Pulse 65-4,Tripod Solo
Tripod Pulse 65-5,Tripod Solo
Rover Chamber Pulse 66,Rover
Rover fluoro Pulse 66,Rover
Rover Transit Pulse 66,Rover
SES Pulse 66,SES
Tripod Pulse 66-1,Tripod Solo
Tripod Pulse 66-2,Tripod Solo
Tripod Pulse 66-3,Tripod Solo
Tripod Pulse 66-4,Tripod Solo
Tripod Pulse 66-5,Tripod Solo
Tripod Pulse 67 Far Field Dual-1,Tripod Dual
Tripod Pulse 67 Far Field Dual-2,Tripod Dual
Tripod Pulse 67 Far Field Dual-3,Tripod Dual
Tripod Pulse 67 Near Field Dual-1,Tripod Dual
Tripod Pulse 67 Near Field Dual-2,Tripod Dual
Tripod Pulse 67 Near Field Dual-3,Tripod Dual
Rover Chamber Pulse 67,Rover
Rover fluoro Pulse 67,Rover
Rover Transit Pulse 67,Rover
Tripod Pulse 67 Far Field Solo-1,Tripod Solo
Tripod Pulse 67 Far Field Solo-2,Tripod Solo
Tripod Pulse 67 Far Field Solo-3,Tripod Solo
Tripod Pulse 68 Far Dual-1,Tripod Dual
Tripod Pulse 68 Far Dual-2,Tripod Dual
Tripod Pulse 68 Far Dual-3,Tripod Dual
Tripod Pulse 68 Far Dual-4,Tripod Dual
Tripod Pulse 68 Far Dual-5,Tripod Dual
Tripod Pulse 68 Nea  Dual-1,Tripod Dual
Tripod Pulse 68 Near Dual-2,Tripod Dual
Tripod Pulse 68 Near Dual-3,Tripod Dual
Tripod Pulse 68 Near Dual-4,Tripod Dual
Tripod Pulse 68 Near Dual-5,Tripod Dual
SES Pulse 68-Autolevels,SES
Tripod Pulse 68 Solo-1,Tripod Solo
Tripod Pulse 68 Solo-2,Tripod Solo
Tripod Pulse 68 Solo-3,Tripod Solo
Tripod Pulse 68 Solo-4,Tripod Solo
Tripod Pulse 68 Solo-5,Tripod Solo
Rover Chamber Pulse 69,Rover
Rover fluoro Pulse 69,Rover
Rover Transit Pulse 69,Rover
Tripod Pulse 69-01-Solo,Tripod Solo
Tripod Pulse 69-02-Solo,Tripod Solo
Tripod Pulse 69-03-Solo,Tripod Solo
Tripod Pulse 69-04-Solo,Tripod Solo
Tripod Pulse 70 Far Field Dual-1,Tripod Dual
Tripod Pulse 70 Far Field Dual-2,Tripod Dual
Tripod Pulse 70 Far Field Dual-3,Tripod Dual
Tripod Pulse 70 Far Field Dual-4,Tripod Dual
Tripod Pulse 70 Near Field Dual-1,Tripod Dual
